comment,likes,replies
"If I have trouble sleeping at night I always imagine Matthew Walker whispering in my ear ""Sleep is your superpower""",162,3
"When you’re watching this video about sleep, yet you still feel miserable and tired the next day… ",0,0
I just stayed up for 36 hours to finish a uni assignment and this is one of the first things youtube recommended me afterwards lmao,0,0
"My child did not sleep ONE NIGHT straight, FOR 5 years. My brain is effed. Truly. It’s scary what sleep deprivation can do.",0,0
"So if I averaged 4 to 5 hours of sleep and pulled many all nighters and took sleeping meds as a child but still killed it in school and never got sick does that mean I am some biological unit? Or ""built different""? 

Or is it not as drastic as this guy says. I lived that way for YEARS as a child until I got older and learned what was good for me and what wasn't 

Not saying sleep deprivation isn't a thing but arguing how drastic it must really be if I'm somehow not dead or brain dead yet lol",2,0
Thank you it indeed is wake up call. God bless you.,0,0
"Really interesting ! Particularly, "" first, it's because human beings are the only species that deliberately deprive themselves of sleep for no apparent reason"". (17:57)",136,2
I wish he talked about parents of young children under 2.  Sleep deprivation in this population has to be astronomical.,0,0
I will watch this when my twins are grown up ,0,0
I'ma watch this ted talk real quick before I sleep.,0,0
"WOOOOOU  esto es increíble!!!! Solo debo dormir mejor para tener una buena salud!!! Esto es muy bueno!!!
Pd: vengo de UNA COREANA K-beauty ",0,0
me watching this at 2 am trying to make an essay about sleep,0,0
The more you stress the more you can’t sleep. The more you worry about not sleeping the more you’ll keep yourself from falling asleep.,47,2
Spot On! ,0,0
"I get anxiety when I travel. Travelling screws up my sleep so much. I can't sleep on airplanes (a bit of claustrophobia even if i were in business class). And I get headaches after the flight. Then going to the hotel which looks nothing like my cozy bedroom. I can sleep but only so slightly. So i stopped travelling for the sake of my physical and mental health. People my age (millennials, gen z) think I'm strange because i told them i stopped travelling. Whatever, health is more important to me",0,0
Gotta listen this carefully or I'm staying up for couple days more,1,0
"The shorter your sleep shorter your life
! On that note! Good night everyone! ",0,0
"Thankyou 
Very important and informative",0,0
"Sometimes, when I stay awake far too long, and I fall into bed absolutely exhausted I want to just fall into instant sleep, but my body is still too wired, I experience my mind start to file the days memories while I am still conscious. It's really interesting.",8,0
I sleep soooo much ...  i love it & own it :),0,0
"Turning 30 this year and regret all the all nighters I’ve pulled with friends, video games, and partying for the past 18 years. Definitely did not reach my full potential.",1,0
That’s why I’m sleeping for 9-10 hours,1,0
My ambition is to become a champion of sleep!,0,0
"Watching this to sleep at 3am, ready to wake up at 8am for work ",0,0
"After having finally watched the full video, now I am really sure that I will never have a short span of sleep time EVER again and will also sleep before 11 p.m. for sure ",12,1
I can't help but wonder why I am the age I am and I am not dead or sick by now. I haven't had a full and deep night's sleep since menopause.,1,0
I am taking this suggestion!  Thankyou Ted!,0,0
Watching This After realising my studies and health were affected due to lost sleep. And tomorrow is exam,0,0
"The old saying is, 1hour before
midnight is worth 2.
Great Video !!!.",0,0
I mean day to day when I have those weeks where I get barely any sleep I can feel my mental health being affected.,0,0
I'm getting my MBA right now while working and building a start up. This couldn't be more perfect. Thank you! I'll stop destroying myself now ️,79,2
damn. i sleep 4-6 hours a night. this is going to make me change that ASAP,0,0
This video is more depressing than real sleep deprivation. ,0,0
That moment when it's 11 am and you couldn't sleep all night because of insomnia,0,0
"At school, my teacher told me that students just need 6 hrs of sleep and me being a nerd followed it. I've been sleeping for just 6 hrs since I was 12. Oh god, save me",0,0
Thank you Matt,0,0
Sleeping is the most blessing thing ever in our life's on planet earth ,25,1
I think sleep before learning is very helpful. I usually sleep a lot before I start my assignment and final exam. Hahaha,0,0
That fact about the heart attacks is insane.,0,0
He does sound like someone who's just woken up from 9hrs of sleep.,0,0
"My sleep-related superpower is somehow staying awake for another four hours despite being mentally and physically exhausted, as well as extremely tired. I have no control over this power. What's yours?",0,0
"In the waking state, thoughts come 'automatically' in our minds. For example, i myself don't know what thought will come into my mind say after 10 minutes, 20 minutes etc. 


When thoughts come automatically to our mind, it 'seems' to us that we have consciouly 'thought' them.


Similarly, while sleeping also thoughts come 'automatically' to our minds.",0,0
this is one of best ever Ted talk on  importance on taking good night sleep ,31,0
Matt really wants to sleep. As we all know,0,0
What is the name of the device that increases your quality of sleep? I would be interested in buy this,0,0
This guy probably mastered sleep walking…He’s actually sleeping while giving this speech  ,0,0
Legends are sleeping while he is lecturing ,0,0
When I sleep less than 8 hours my memory is better.,0,0
The most wholesome talk ever. It’s so yummy and embalming for the spirit.,29,0
A title so powerful...it literally woke me up.,0,0
Sleep deprivation with their study is vase different than just getting a 1 or 2  hour's  of less sleep. The US military with their special forces has much deeper research on this.,0,0
7  hours of sleep per day on the bluetooth watch. I have 2 dogs to take care of the  world when I sleep. Used to have sleeping problems till Matrix.  Dogs also protect me from disinformation and mental disorders. Love. Trinity and Neo. It is VR. I read your book.,0,0
School and jobs force us not to sleep. Especially if u are a late sleeper who from natural sleep longer but also are longer awake in the evening.,0,0
Damn I’ve been sleeping 4 to 6 hours a day for the past 8 months ,0,0
"""You would never sit at dinner table waiting to be hungry, so why would you lie on bed waiting to get sleepy?"" - Matt Walker",1748,14
I never pulled an all nighter - I always felt my sleep was more important - I was ahead of the group,1,0
he's so good.,0,0
Me watching this after sleeping 11 hrs ,0,0
I suspect the reason we have the stigma about sleeping in the first place is to encourage us to spend more time working and less time resting. Its a sad state of affairs when the accumulation of money is seen as more important than peoples health.,0,0
I felt sleepy after watching this ,0,0
"""Sleep is your superpower.""
Indeed it is. I'm really good at it. I'm so good, I can do it with my eyes closed.",2169,17
"In comparison of two groups (1 group of all nighters and 1 group of full sleepers), The group that gets a full sleep was able to have clear memory of what they've learned before by a test, and they are competely energized as well. But the all nighters didn't go as well as the others as their accuracy dropped down to 40%.

- Lack of sleep is one of the causes of aging and lack of memory strength by the source of the hippocampus. 
- Deep sleep is the best sleep for it makes the magnetic waves in your brain way stronger and makes a more clear and powerful file that transfers the information you learned to a more secure and safe file that you can permanently remember forever.
- ""The shorter your sleep, the shorter your life.""",0,0
"I unlocked the ability to transform into a Koala

And sleep more after this video

Arigato Matt Walker",0,0
I'm going to listen to this to fall asleep.,0,0
"To summarise the video,
- Less sleep lowers testosterone levels in men
- Less sleep affects your brain's learning ability and its receptiveness toward learning new things
- Less sleep worsens your memory
- Less sleep adversely affects your cardiological health - Increased risks of heart attacks
- Less sleep has a correlation with higher suicide rates
- Less sleep results in fewer natural killer cells (cells that eliminate diseases and illnesses), leaving you more vulnerable to illnesses and a weaker immune system
- Less sleep might result in a higher risk of cancer (shift work is said to be a ""probable"" carcinogen going to show the extent to which sleep deprivation is harmful)
- Less sleep results in more harmful genes which cause cardiovascular attacks, tumor promotion as well as long-term chronic inflammation while at the same time lower the number of genes that promote immune functions.

Tips for good sleep
1) Regularity: Wake up and go to bed at the same time, create and follow a consistent sleep routine
2) Cool room temperature",1,1
Excellent!,0,0
"I started to feel what I learned from our elderly people when I was a kid such as sleep early and eat healthy are just proven by modern science that they were RIGHT LONG LONG TIME AGO  

Blessings from Taiwan ! ",13,0
"everytime an event or person prevents me from gettin my zs, i get in a serious bad mood and notice my health rapidly diminishes as my day unfolds; my grandparents used this creed: 'sleep well is priceless'",0,0
"Can meditation ""replace"" sleep or a nap? would the effects be equivalent in terms of the brain, etc.?",0,1
As a student I need that waves stimulating cap ,0,0
This is alarming to hear… I kind of don’t have a choice on shift work… I work 5pm to 5am as a truck driver at the same company for 2 years. They have day runs but our company runs by seniority and those are the most desired runs the only way you’re getting one of those is if one of the guys on it either dies or retires. With that being said I don’t see myself working a day shift job for years so how does it effect me negatively even if I’m getting my 8 each day?,1,0
Amazing ,0,0
Sleep is our power outlet. Can't function without it.,16,0
"What if you’re someone who only needs say 6 hours of sleep? You operate at the same capacity as someone who needs 8 hours, what causes that? Is it unhealthy? Can it be changed?",0,0
"How did he find out about reduction of 70% in natural Killing cell in immune system? 10:52 
I mean what did he use to measure and get that much detail",0,0
"Thanks Tamanna di, This was worth watching, @10.15 pm, going to sleep.. good night .",1,0
"What is ironic is, If you dont get good enough sleep you wont internalize what this video has to give.",0,0
Great job,0,0
"Studies: teenagers need 10 hours of sleep a night
School system: three, take it or leave it",2370,23
Now I can sleep more with reasons ,0,0
A good night's sleep is like a good meal for me .,0,0
How I wish to sleep 8 hours straight at night without works to do.. :(,2,0
i wish sleep was far more prioritized in our society,0,0
Me watching this at 11 PM and waking up at 6 AM tomorrow…,1,0
This is the best video i have watch yet about sleep. and it's legendary valuable. thanks to matt walker. he is the real jedi.,16,2
Apart from the sleep I would suggest meditation :),0,0
So with my level of intelligence and amount of productivity on 5-6 hours of sleep a night… you’re telling me if I get 8 hours I could basically cure cancer,1,0
Well I took his advice so.seriously that I just slept while listening to his ted talk,0,0
Awesome ,0,0
"Me: (reads title)

Also me: you convinced me, I’m going sleep now",0,0
Sleep de deprivation is usually caused by pain for me due to auto immune sickness doing much better due to taking out opioids out of my life,0,0
"This guy doesn't get pulling an all-nighter; comparing how well you memorize stuff after sleeping and not sleeping is not the point, if you're studying during those 8 hours the others slept the results might be very different",0,0
Watching it in 5am not slept still ,0,0
"A good way to reset your sleep if hit the beach and swim and just enjoy it, but mostly swim, it kinda resets your body. When you get to bed you will knock out effectively immediately",0,1
A great video.,0,0
"Outstanding Performance!
Matt really got a 2 semester Course into 20 min Talk!
Cheers Matt Walker (Texas Ranger?Lol)",12,0
"If this is true why do I feel more awake when I get 4-6 hours then if I get 8? I never sleep past 6 hours and if I try to go back to sleep and sleep in I feel terrible. Maybe we just form patterns that we can't get out of, of maybe some people are sufficient on less sleep than others.",0,0
"Just the fact that the host says, “Thank you for that wake-up call,” shows me that our culture sucks at recognizing & accepting the sleep-deprivation problem.",0,0
"And from childhood , we are mocked for sleeping long and not waking up at wee of morning! Even got debated that only 4 hours of sleep is enough for an adult",0,0
what an amazing public speaking,0,0
Sleep is power,0,0
I've heard it said that sleep has more impact on your health than diet and exercise combined. I'm convinced that's true.,97,8
Such a good public speaker,0,0
"what would happen if people with chronic insomnia watch this video or read the book, it seems to me that scientific research should be focused on the question why we don't sleep instead of putting so much pressure on sleep, this content can even cause sleep anxiety in my opinion.",1,0
"It's 3:37 am
So I will save this video to watch later until I wake up ",0,0
"I was captivated by his Ted talk, but also his hair the whole time",0,0
I think I feel some Super Power recharging coming on....( T ),0,0
"24 hours = 8 hours each for sleep, work, and play. Good advice and practice.",125,8
"So sleep deprivation ages you a decade, fantastic. Which means our life expectancy has significantly reduced compared to before the diffusion of internet and social media on smartphones. Which also means, with covid and other viral infections long term side effects along with sleep deprivation, our longevity is low and would lead us to leave this planet before we make it worse. I like these upsides of the sleep deprivation.",0,0
If only sleep was as simple as making a choice to go to bed and switch off,1,0
Video starts at @14:20,0,0
Perfect ,0,0
Thank you for this video,1,0
"His talk is so good, I want to sleep during the talk.",21,0
The people who got sleep deprived should’ve been given the study material for the eight hours they were awake.,0,0
"People +62 be like,""Sleep is self healing, self reward"" ya emang bener sih, apalagi yang introvert pasti relate banget kalo tidur slah satu recharger terlegend wkwkwkk",0,0
Does anyone know if this video is available in other languages? ,0,0
That explains why my memory was blank during my masters course exams.,0,0
Achieve your super brain potential starts with taking care of your brain.,1,0
"The first minute was all I needed to hear, good night everybody.",2673,21
"Right now on bed listening this and trying to sleep . 
Shucks it's hard",0,0
"I added this to my ""watch later"" over a year ago. It consistently pops up on the front of my feed late at night at least once a week.

Proud to say after all that time, I still haven't succumbed to its persistence.

Still awake!",3,0
You need sleep before learning and after learning. I think my tendency to sleep during learning is where I have been going wrong. ,1,0
I’m so glad I stayed up to watch this,0,0
He looks like he had a good night sleep.,0,0
"Walker's top recommendations:
1. Avoid naps throughout the day.
2. Regularity: Go to bed and wake up at the same time, even on weekends.
3. Keep room cool, approximately 65 degrees. 
4. Keep your bed as a place only for sleep.",550,24
Amazing.....Just Amazing,0,0
can we divide our sleep cycle into 2 parts of 4 hours stretch?,0,0
"Litteraly 3:04 AM, typing is hard, fingers are kinda numb, eyes are heavy but I'm watching this and convincing stupid self that I've slept for more than 7 hours already",0,0
"Shouldn't they do the experiment twice, flipping the circumstances again to account for individual variation of learning to get a more thorough result? To compare the same individuals In each situation and get a better average.",0,0
5:46 am putting this on to fall asleep to ,0,0
I sleep over 12 hours everyday even 18 hours sometimes.. you can imagin how monstreus my cojones are at this moment #power,194,12
I used to think I could feel my thoughts. ,0,0
Perfect!,0,0
I haven't slept enough hours to follow this,0,0
"When you study at university, you have more important things to do than sleep",1,2
I pray anyone reading this gets a good nights sleep tonight,0,0
"Me: sleeps during class
Teacher: TF you think you’re doing
Me: saving my work",7597,49
Nice teacher with a nice smile ️ 🇮🇳,0,0
At the start of this video... i really hope this guy isn’t just going to tell me that humans need sleep.,0,0
What do you do if your body isn't ready to sleep until 2 or 3 am?,0,1
I started feeling a lot better when I got less sleep. My bedtime started getting pushed to 2-3am and I wake up around 7-9. I started feeling better and better throughout the day and more productive compared to when I slept from 10-12pm until 7-9am. My sweet spot is like 6 hours of sleep,0,0
I usually come to Ted talk videos to motivate myself. But I am depressed af at 3:45 am!,0,0
A Moment Of Silence For All The Sleep Deprived Subjects.,247,3
"If I’ve been sleeping bad for 3 years, would I be able to recover from the negatives if I start sleeping properly?",1,2
"""Well, thank you for that wake up call"" NO WE NEED SLEEP!",0,0
Me watching this 6:00 in the morning n still awake .,0,0
Einstein used to get his best ideas as he was falling asleep and would hold a rock in one hand and his pen in the other as he would have his best thoughts just before he fell asleep and he held the rock to let him know if he fell asleep..,0,0
"I Wish I could Sleep without this Trauma,Depression and Anxiety .",0,0
"Excellent talk and topic. Reminded me of Bill Hicks ""i need 8 hours a day...and 10 at night""",33,1
The seriousness in his voice makes me worried about the future destruction of earth just because of our insomnia.,0,0
"Nutrition plays the biggest role in health, among other things.",0,0
What is the impact of extra sleep on the body and mind. Can u plz tell,0,0
I know medications such as adhd stimulates keeps you up. Especially vyvanse. 14 hour long concentration focus keeps you up past the 14 hours mark most times.,1,0
I slept early and wokeup at 2am. And watching this right now🥹,0,0
"The shorter the sleep, the shorter the life
Learn something from it.",62,1
"I WILL NEVER GIVE UP MY NAP TIME , 
IT'S JUST NON NEGOTIABLE",0,0
"You'd never want to entire the dining table sitting down waiting to be hungry so therefore, never stay in your bed if you want to sleep"" -Matt Walker",0,0
The best YouTube Video I have watched this year.,0,0
what about doctors and hospital personnel that are hyper sleep deprived? will those also show cancer leniency?,0,0
"He didn’t talk about oversleep, I do oversleep I love sleeping ",0,0
"I've been saying it for a long time: we need less job and education, we need more time to sleep",309,5
I think he also need to study food intake effect on sleep and then his analogy will be quite different and even 4 hrs sleep will enough which is between 12 am to 4 am only.,0,0
"Its undeniable that sleeping is good for health, but dont go tell me you cant ace and exam because your average sleep is bellow the desirable levels. Correlation doesnt mean causation. It depends on the body and ability to adapt. There are yet a lot of knowledge to unlocked about brain ability to learn, having signalings recorded doesnt mean you are capturing all involved signals in the learning procesos",0,0
I wonder how well this man slept after this performance,0,0
I cant wait to sleep and never wake up. It’s the moment I wake up everything starts to go wrong in the day ,0,0
Man I got the opposite  I sleep too much and got no energy throughout the day,1,0
"Sleeping is so easy, I can do it with my eyes closed!",1436,19
"Unless you already are a superpowered meditating monk, who sleeps only 4 hours a day and is still as sharp as a sword.",0,0
"My question is, if we distribute that 8 hours into two halves, say 6-2 hours, 6 during the night and 2 during the day. How will the facts provided here change, in accordance to our well being?",0,0
this is my favorite video on youtube.,0,0
consistent solid rest/sleep is extremely undervalued. My body/brain likes 8.5-9 hrs/night,0,0
He should work for apple and present the next Keynote,0,0
I have so many health problems because of lack of sleep . Now I have learnt a lesson that  as you sow so shall you reap.,19,1
"Why do depressed people sleep a lot? Shouldn't that improve their thoughts/feelings/mindset, scientifically? Or is that what the body is eventually relying on: higher shut down periods to help itself?",1,0
Some of us don't really want anymore memories to be acknowledging since the ones we already have haunt and taunt us enough...,3,0
He never mentioned this but night person do 20% worse in grade school because it always starts in the morning and they learn nothing till noon.,0,0
I like that Chuck Norris is branching out into science as well.,0,0
me watching  at 3 am having to complete  assignments  to be submitted  at 6am,0,0
"Tips for a better sleep:
1. Regularity - sleep and wake up at the same time. 
2. Keep it cool - 65°F/18°C room temperature. 
* Only go to bed when you're sleepy.",16,0
"We need to find a way to make more time for our sleep instead of looking for better ways to sleep. We as a whole population decide what’s important and what’s not, the invention of money has clouded the way for the choice",1,0
if you sleep 3 hours less every night up to the age of 75 you will have lived an extra 9.38 years worth of awake hours while you are young. and if you sleep 8 hours a night you will have to live to the age of 90 to make up for the awake hours you lost but how useful is the hours awake while you are 80 to 90 years old vs when you are 20-60 years old.,0,0
Well guess I'm sleeping on that superpower.,7,0
is it really a super power if 90% of people are able to sleep perfectly fine?,0,0
My whole life I’ve been made guilty for “sleeping in” or being lazy. It’s so ridiculous! People have no knowledge!!!,0,0
This clearly explains why Snorlax is so strong.,5940,29
Fascinating stuff,0,0
Well this scared me enough to fix my sleep schedule. Hope it's not too late.,0,0
I already know all this and I want to implement it but I have to work in shifts. ,0,0
"Al-Furqan 25:47

وَهُوَ ٱلَّذِى جَعَلَ لَكُمُ ٱلَّيْلَ لِبَاسًا وَٱلنَّوْمَ سُبَاتًا وَجَعَلَ ٱلنَّهَارَ نُشُورًا l

And it is He who has made the night for you as clothing and sleep [a means for] rest and has made the day a resurrection",0,0
"Ooh, recognize his name from reading his book called Why We Sleep!",0,0
Finally I found something that I can show to my parents why I sleep a lot ,44,1
"Dwayne ""The Rock"" Johnson sleeps for barely 3-4 hours. Ok so now I know his secrets ",2,0
I sleep about 5 hours per night and it does suck. I’m exhausted every day and mentally drained,0,0
"if i could function normally without sleep, i would never sleep",0,0
amazing,0,0
That moment when you are watching this instead of sleeping,1,0
He slept well before this lecture that's why there were no ah(s) and uhm(s). He proved his point.,54,3
"my wife got asleep while we werre hearing it, well when she wake up gonna continue listen it",0,0
I wonder if Sadhguru saw this?! Would love to see a debate ,0,0
"A good kick start, exercise more, eat healthy, avoid hangovers",0,0
This video just convinced me to put the phone down  Thanks video.,0,0
Watching this at 3 am when I have a lecture at 9 am,0,0
This guy had the most interesting podcast on Joe Rogan! (in my opinion),137,4
"What's the relationship between weight and sleep.  I weigh myself before bed, and when I am too heavy, I sleep bad and have to exercise at 3 or 4AM to get back to sleep.",0,2
"I partly disagree with Matt. 8 hours sleeping is not always good, 6 -7 is good and 4 can be enough person to person. Some of the succesfull people sleep less and work more. The important thing is, you have to sleep at the right time. I could not achieve that but I am trying nevertheless. Regards",0,0
I got fired for sleeping in too many times . I guess I’ll outlive my bosses haha,0,0
"Matt Walker: spends 19 minutes talking about the importance of sleep

Facilitator: ""thank you for that wake up call""",0,0
how do we apply that voltage to the brain while we sleep?,0,0
Who's watching this at stupid time o'clock when you should be sleeping,3169,53
"I stopped when he said the opening was the best part. Unfortunately, I’ve had bad sleep for as long as I can remember. Too many bad people and situations in life; I suppose I’m doomed, but I’m not going to find out how extra f#€ked I am by watching this.

For the record, about what people have written about the thought of staying in bed if you’re not sleeping: because you’re tired, and hoping to be fortunate enough to doze off for a few extra minutes. That’s why.",0,0
"All you have to do is watch people working hard at their jobs...
Does the trick everytime!jj
No really though,  prayer will work miracles if you truly believe...",0,0
